movimento_id,data,produto_id,tipo,quantidade,quantidade_efetiva,preco_unitario,preco_total,fornecedor,estoque_afetado,motivo
44,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
45,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
46,2026-01-25,4,consumo,0.006,-0.006,,,,aberto,
47,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
48,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
49,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
50,2026-01-25,4,consumo,0.006,-0.006,,,,aberto,
51,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
52,2026-01-25,7,consumo,0.15,-0.15,,,,aberto,
53,2026-01-25,4,consumo,0.015,-0.015,,,,aberto,
54,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
55,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
56,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
57,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
58,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
59,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
60,2026-01-25,4,consumo,0.006,-0.006,,,,aberto,
61,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
62,2026-01-25,18,consumo,1.0,-1.0,,,,aberto,
63,2026-01-25,1,consumo,0.008,-0.008,,,,aberto,
64,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
65,2026-01-25,16,consumo,1.0,-1.0,,,,aberto,
66,2026-01-25,6,consumo,0.006,-0.006,,,,aberto,
67,2026-01-25,3,consumo,0.15,-0.15,,,,aberto,
68,2026-01-25,4,consumo,0.008,-0.008,,,,aberto,
69,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
70,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
71,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
72,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
73,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
74,2026-01-25,4,consumo,0.006,-0.006,,,,aberto,
75,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
76,2026-01-25,1,consumo,0.02,-0.02,,,,aberto,
77,2026-01-25,2,consumo,0.24,-0.24,,,,aberto,
78,2026-01-25,4,consumo,0.012,-0.012,,,,aberto,
79,2026-01-25,8,consumo,2.0,-2.0,,,,aberto,
80,2026-01-25,13,consumo,1.0,-1.0,,,,aberto,
81,2026-01-25,7,consumo,0.3,-0.3,,,,aberto,
82,2026-01-25,4,consumo,0.03,-0.03,,,,aberto,
83,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
84,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
85,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
86,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
87,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
88,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
89,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
90,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
91,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
92,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
93,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
94,2026-01-25,20,consumo,1.0,-1.0,,,,aberto,
95,2026-01-25,6,consumo,0.012,-0.012,,,,aberto,
96,2026-01-25,3,consumo,0.3,-0.3,,,,aberto,
97,2026-01-25,4,consumo,0.016,-0.016,,,,aberto,
98,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
99,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
100,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
101,2026-01-25,6,consumo,0.012,-0.012,,,,aberto,
102,2026-01-25,3,consumo,0.3,-0.3,,,,aberto,
103,2026-01-25,4,consumo,0.016,-0.016,,,,aberto,
104,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
105,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
106,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
107,2026-01-25,15,consumo,1.0,-1.0,,,,aberto,
108,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
109,2026-01-25,15,consumo,2.0,-2.0,,,,aberto,
110,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
111,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
112,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
113,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
114,2026-01-25,13,consumo,1.0,-1.0,,,,aberto,
115,2026-01-25,1,consumo,0.008,-0.008,,,,aberto,
116,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
117,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
118,2026-01-25,2,consumo,0.1,-0.1,,,,aberto,
119,2026-01-25,4,consumo,0.01,-0.01,,,,aberto,
120,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
121,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
122,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
123,2026-01-25,18,consumo,1.0,-1.0,,,,aberto,
124,2026-01-25,13,consumo,1.0,-1.0,,,,aberto,
125,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
126,2026-01-25,1,consumo,0.008,-0.008,,,,aberto,
127,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
128,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
129,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
130,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
131,2026-01-25,4,consumo,0.006,-0.006,,,,aberto,
132,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
133,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
134,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
135,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
136,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
137,2026-01-25,18,consumo,1.0,-1.0,,,,aberto,
138,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
139,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
140,2026-01-25,4,consumo,0.006,-0.006,,,,aberto,
141,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
142,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
143,2026-01-25,1,consumo,0.024,-0.024,,,,aberto,
144,2026-01-25,2,consumo,0.3,-0.3,,,,aberto,
145,2026-01-25,5,consumo,0.01,-0.01,,,,aberto,
146,2026-01-25,8,consumo,2.0,-2.0,,,,aberto,
147,2026-01-25,2,abertura,2.0,-2.0,,,,,
148,2026-01-25,1,consumo,0.02,-0.02,,,,aberto,
149,2026-01-25,2,consumo,0.04,-0.04,,,,aberto,
150,2026-01-25,2,consumo,0.2,-0.2,,,,aberto,
151,2026-01-25,5,consumo,0.04,-0.04,,,,aberto,
152,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
153,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
154,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
155,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
156,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
157,2026-01-25,5,consumo,0.02,-0.02,,,,aberto,
158,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
159,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
160,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
161,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
162,2026-01-25,7,consumo,0.15,-0.15,,,,aberto,
163,2026-01-25,4,consumo,0.015,-0.015,,,,aberto,
164,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
165,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
166,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
167,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
168,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
169,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
170,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
171,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
172,2026-01-25,2,consumo,0.1,-0.1,,,,aberto,
173,2026-01-25,4,consumo,0.01,-0.01,,,,aberto,
174,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
175,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
176,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
177,2026-01-25,3,abertura,1.0,-1.0,,,,,
178,2026-01-25,6,consumo,0.012,-0.012,,,,aberto,
179,2026-01-25,3,consumo,0.25,-0.25,,,,aberto,
180,2026-01-25,3,consumo,0.05,-0.05,,,,aberto,
181,2026-01-25,4,consumo,0.016,-0.016,,,,aberto,
182,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
183,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
184,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
185,2026-01-25,1,consumo,0.008,-0.008,,,,aberto,
186,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
187,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
188,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
189,2026-01-25,5,consumo,0.02,-0.02,,,,aberto,
190,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
191,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
192,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
193,2026-01-25,19,consumo,1.0,-1.0,,,,aberto,
194,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
195,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
196,2026-01-25,13,consumo,2.0,-2.0,,,,aberto,
197,2026-01-25,1,consumo,0.008,-0.008,,,,aberto,
198,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
199,2026-01-25,13,consumo,1.0,-1.0,,,,aberto,
200,2026-01-25,6,consumo,0.006,-0.006,,,,aberto,
201,2026-01-25,3,consumo,0.15,-0.15,,,,aberto,
202,2026-01-25,4,consumo,0.008,-0.008,,,,aberto,
203,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
204,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
205,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
206,2026-01-25,1,consumo,0.008,-0.008,,,,aberto,
207,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
208,2026-01-25,6,consumo,0.012,-0.012,,,,aberto,
209,2026-01-25,3,consumo,0.3,-0.3,,,,aberto,
210,2026-01-25,4,consumo,0.016,-0.016,,,,aberto,
211,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
212,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
213,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
214,2026-01-25,6,consumo,0.012,-0.012,,,,aberto,
215,2026-01-25,3,consumo,0.3,-0.3,,,,aberto,
216,2026-01-25,4,consumo,0.016,-0.016,,,,aberto,
217,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
218,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
219,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
220,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
221,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
222,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
223,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
224,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
225,2026-01-25,19,consumo,1.0,-1.0,,,,aberto,
226,2026-01-25,1,consumo,0.02,-0.02,,,,aberto,
227,2026-01-25,2,consumo,0.2,-0.2,,,,aberto,
228,2026-01-25,4,consumo,0.02,-0.02,,,,aberto,
229,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
230,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
231,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
232,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
233,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
234,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
235,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
236,2026-01-25,17,consumo,1.0,-1.0,,,,aberto,
237,2026-01-25,1,consumo,0.016,-0.016,,,,aberto,
238,2026-01-25,8,consumo,2.0,-2.0,,,,aberto,
239,2026-01-25,7,consumo,0.15,-0.15,,,,aberto,
240,2026-01-25,4,consumo,0.015,-0.015,,,,aberto,
241,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
242,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
243,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
244,2026-01-25,20,consumo,1.0,-1.0,,,,aberto,
245,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
246,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
247,2026-01-25,5,consumo,0.02,-0.02,,,,aberto,
248,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
249,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
250,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
251,2026-01-25,1,consumo,0.02,-0.02,,,,aberto,
252,2026-01-25,2,consumo,0.2,-0.2,,,,aberto,
253,2026-01-25,4,consumo,0.02,-0.02,,,,aberto,
254,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
255,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
256,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
257,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
258,2026-01-25,2,consumo,0.1,-0.1,,,,aberto,
259,2026-01-25,4,consumo,0.01,-0.01,,,,aberto,
260,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
261,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
262,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
263,2026-01-25,3,abertura,1.0,-1.0,,,,,
264,2026-01-25,6,consumo,0.012,-0.012,,,,aberto,
265,2026-01-25,3,consumo,0.2,-0.2,,,,aberto,
266,2026-01-25,3,consumo,0.1,-0.1,,,,aberto,
267,2026-01-25,4,consumo,0.016,-0.016,,,,aberto,
268,2026-01-25,9,consumo,2.0,-2.0,,,,aberto,
269,2026-01-25,10,consumo,2.0,-2.0,,,,aberto,
270,2026-01-25,11,consumo,2.0,-2.0,,,,aberto,
271,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
272,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
273,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
274,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
275,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
276,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
277,2026-01-25,4,consumo,0.006,-0.006,,,,aberto,
278,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
279,2026-01-25,16,consumo,2.0,-2.0,,,,aberto,
280,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
281,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
282,2026-01-25,5,consumo,0.02,-0.02,,,,aberto,
283,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
284,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
285,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
286,2026-01-25,14,consumo,1.0,-1.0,,,,aberto,
287,2026-01-25,2,abertura,2.0,-2.0,,,,,
288,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
289,2026-01-25,2,consumo,0.12,-0.12,,,,aberto,
290,2026-01-25,5,consumo,0.02,-0.02,,,,aberto,
291,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
292,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
293,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
294,2026-01-25,1,consumo,0.008,-0.008,,,,aberto,
295,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
296,2026-01-25,18,consumo,1.0,-1.0,,,,aberto,
297,2026-01-25,1,consumo,0.012,-0.012,,,,aberto,
298,2026-01-25,2,consumo,0.15,-0.15,,,,aberto,
299,2026-01-25,5,consumo,0.005,-0.005,,,,aberto,
300,2026-01-25,8,consumo,1.0,-1.0,,,,aberto,
301,2026-01-25,16,consumo,1.0,-1.0,,,,aberto,
302,2026-01-25,18,consumo,2.0,-2.0,,,,aberto,
303,2026-01-25,1,consumo,0.01,-0.01,,,,aberto,
304,2026-01-25,2,consumo,0.1,-0.1,,,,aberto,
305,2026-01-25,4,consumo,0.01,-0.01,,,,aberto,
306,2026-01-25,9,consumo,1.0,-1.0,,,,aberto,
307,2026-01-25,10,consumo,1.0,-1.0,,,,aberto,
308,2026-01-25,11,consumo,1.0,-1.0,,,,aberto,
309,2026-01-25,20,consumo,1.0,-1.0,,,,aberto,
310,2026-01-25,12,consumo,66.0,-66.0,,,,aberto,
311,2026-01-26,14,abertura,12.0,-12.0,,,,,
312,2026-01-26,19,consumo,1.0,-1.0,,,,aberto,
313,2026-01-26,6,consumo,0.006,-0.006,,,,aberto,
314,2026-01-26,3,consumo,0.15,-0.15,,,,aberto,
315,2026-01-26,4,consumo,0.008,-0.008,,,,aberto,
316,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
317,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
318,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
319,2026-01-26,15,consumo,2.0,-2.0,,,,aberto,
320,2026-01-26,1,consumo,0.012,-0.012,,,,aberto,
321,2026-01-26,2,consumo,0.15,-0.15,,,,aberto,
322,2026-01-26,5,consumo,0.005,-0.005,,,,aberto,
323,2026-01-26,8,consumo,1.0,-1.0,,,,aberto,
324,2026-01-26,7,consumo,0.15,-0.15,,,,aberto,
325,2026-01-26,4,consumo,0.015,-0.015,,,,aberto,
326,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
327,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
328,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
329,2026-01-26,19,consumo,1.0,-1.0,,,,aberto,
330,2026-01-26,14,consumo,1.0,-1.0,,,,aberto,
331,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
332,2026-01-26,2,consumo,0.12,-0.12,,,,aberto,
333,2026-01-26,5,consumo,0.02,-0.02,,,,aberto,
334,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
335,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
336,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
337,2026-01-26,15,consumo,1.0,-1.0,,,,aberto,
338,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
339,2026-01-26,2,consumo,0.1,-0.1,,,,aberto,
340,2026-01-26,4,consumo,0.01,-0.01,,,,aberto,
341,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
342,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
343,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
344,2026-01-26,1,consumo,0.012,-0.012,,,,aberto,
345,2026-01-26,2,consumo,0.15,-0.15,,,,aberto,
346,2026-01-26,5,consumo,0.005,-0.005,,,,aberto,
347,2026-01-26,8,consumo,1.0,-1.0,,,,aberto,
348,2026-01-26,14,consumo,1.0,-1.0,,,,aberto,
349,2026-01-26,15,consumo,1.0,-1.0,,,,aberto,
350,2026-01-26,14,consumo,1.0,-1.0,,,,aberto,
351,2026-01-26,1,consumo,0.02,-0.02,,,,aberto,
352,2026-01-26,2,consumo,0.2,-0.2,,,,aberto,
353,2026-01-26,4,consumo,0.02,-0.02,,,,aberto,
354,2026-01-26,9,consumo,2.0,-2.0,,,,aberto,
355,2026-01-26,10,consumo,2.0,-2.0,,,,aberto,
356,2026-01-26,11,consumo,2.0,-2.0,,,,aberto,
357,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
358,2026-01-26,2,consumo,0.1,-0.1,,,,aberto,
359,2026-01-26,4,consumo,0.01,-0.01,,,,aberto,
360,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
361,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
362,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
363,2026-01-26,20,consumo,1.0,-1.0,,,,aberto,
364,2026-01-26,18,consumo,1.0,-1.0,,,,aberto,
365,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
366,2026-01-26,2,consumo,0.12,-0.12,,,,aberto,
367,2026-01-26,5,consumo,0.02,-0.02,,,,aberto,
368,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
369,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
370,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
371,2026-01-26,18,consumo,1.0,-1.0,,,,aberto,
372,2026-01-26,18,abertura,8.0,-8.0,,,,,
373,2026-01-26,18,consumo,1.0,-1.0,,,,aberto,
374,2026-01-26,6,consumo,0.006,-0.006,,,,aberto,
375,2026-01-26,3,consumo,0.15,-0.15,,,,aberto,
376,2026-01-26,4,consumo,0.008,-0.008,,,,aberto,
377,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
378,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
379,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
380,2026-01-26,7,abertura,1.0,-1.0,,,,,
381,2026-01-26,7,consumo,0.1,-0.1,,,,aberto,
382,2026-01-26,7,consumo,0.05,-0.05,,,,aberto,
383,2026-01-26,4,consumo,0.015,-0.015,,,,aberto,
384,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
385,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
386,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
387,2026-01-26,7,consumo,0.15,-0.15,,,,aberto,
388,2026-01-26,4,consumo,0.015,-0.015,,,,aberto,
389,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
390,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
391,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
392,2026-01-26,17,consumo,2.0,-2.0,,,,aberto,
393,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
394,2026-01-26,2,consumo,0.12,-0.12,,,,aberto,
395,2026-01-26,4,consumo,0.006,-0.006,,,,aberto,
396,2026-01-26,8,consumo,1.0,-1.0,,,,aberto,
397,2026-01-26,17,consumo,1.0,-1.0,,,,aberto,
398,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
399,2026-01-26,2,consumo,0.1,-0.1,,,,aberto,
400,2026-01-26,4,consumo,0.01,-0.01,,,,aberto,
401,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
402,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
403,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
404,2026-01-26,15,consumo,1.0,-1.0,,,,aberto,
405,2026-01-26,1,consumo,0.008,-0.008,,,,aberto,
406,2026-01-26,8,consumo,1.0,-1.0,,,,aberto,
407,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
408,2026-01-26,2,consumo,0.12,-0.12,,,,aberto,
409,2026-01-26,4,consumo,0.006,-0.006,,,,aberto,
410,2026-01-26,8,consumo,1.0,-1.0,,,,aberto,
411,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
412,2026-01-26,2,consumo,0.1,-0.1,,,,aberto,
413,2026-01-26,4,consumo,0.01,-0.01,,,,aberto,
414,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
415,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
416,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
417,2026-01-26,1,consumo,0.01,-0.01,,,,aberto,
418,2026-01-26,2,consumo,0.12,-0.12,,,,aberto,
419,2026-01-26,5,consumo,0.02,-0.02,,,,aberto,
420,2026-01-26,9,consumo,1.0,-1.0,,,,aberto,
421,2026-01-26,10,consumo,1.0,-1.0,,,,aberto,
422,2026-01-26,11,consumo,1.0,-1.0,,,,aberto,
423,2026-01-26,16,consumo,2.0,-2.0,,,,aberto,
424,2026-01-26,7,consumo,0.15,-0.15,,,,aberto,
425,2026-01-26,4,consumo,0.015,-0.015,,,,aberto,
